dt,timestamp,open,high,low,close,volumeBTC,volumeUSD,weightedPrice
2011-02-10,1297296000,1.08,1.1,0.8,0.98031,26559.641,25568.80501058,0.962693923859
2011-02-11,1297382400,0.98,1.0899,0.9264,1.07001,13299.179,13213.53572254,0.993560258309
2011-02-12,1297468800,1.01,1.08,0.9906,1.0799,4118.92,4353.78652009,1.057021384268
2011-02-13,1297555200,1.0511,1.08,1.0201,1.05,3240.64,3398.29831012,1.048650362311
2011-02-14,1297641600,1.04,1.08,1.033,1.07,7096.548,7532.40991521,1.061418863821
2011-02-15,1297728000,1.06,1.085,1.035,1.05,8616.577,9085.50414354,1.054421511412
2011-02-16,1297814400,1.05,1.05019,1.0201,1.045,7192.375,7465.03308264,1.037909325173
2011-02-17,1297900800,1.045,1.05019,1.02,1.04,4009.844,4184.96085737,1.043671738195
2011-02-18,1297987200,1.031,1.04019,0.78009,0.8989,36948.156,32719.75152632,0.885558443737
2011-02-19,1298073600,0.8376,0.98,0.8376,0.94898,3798.708,3454.71585862,0.909444963556
2011-02-20,1298160000,0.94898,0.94898,0.83,0.85,9974.046,8503.38041899,0.852550752121
2011-02-21,1298246400,0.8313,0.8796,0.8313,0.8345,1700.121,1435.86370932,0.844565598166
2011-02-22,1298332800,0.85,0.95,0.8313,0.87023,12095.264,10650.28820188,0.880533752871
2011-02-23,1298419200,0.90999,0.945,0.8681,0.9,6718.872,6057.76931795,0.90160510841
2011-02-24,1298505600,0.93,1.0,0.9,0.99743,13418.685,12708.12028708,0.947046620968
2011-02-25,1298592000,0.97,0.99979,0.91109,0.9111,4461.061,4276.30173593,0.958584008587
2011-02-26,1298678400,0.9112,0.97,0.91061,0.958,4744.406,4452.63170401,0.938501406501
2011-02-27,1298764800,0.958,0.958,0.89,0.89,23268.75,21576.81744681,0.927287346626
2011-02-28,1298851200,0.89009,0.92001,0.845,0.86,4651.674,4108.59689775,0.883251254871
2011-03-01,1298937600,0.8601,0.97,0.8502,0.92021,22569.783,21413.4272225,0.948765312564
2011-03-02,1299024000,0.92021,0.94,0.9102,0.9399,2741.873,2533.96277938,0.924172191557
2011-03-03,1299110400,0.9128,0.9399,0.91,0.93909,2746.67,2520.5789488,0.91768539679
2011-03-04,1299196800,0.92021,0.93909,0.9001,0.901,2711.885,2469.56419698,0.910644882427
2011-03-05,1299283200,0.91,0.9189,0.8111,0.9103,12570.588,11115.0386486,0.884209923084
2011-03-06,1299369600,0.9098,0.9098,0.81,0.8999,12626.492,10775.11277662,0.853373429185
2011-03-07,1299456000,0.87,0.909,0.846,0.88502,15271.268,13527.29787862,0.885800568664
2011-03-08,1299542400,0.88502,0.88502,0.84999,0.86999,4527.851,3931.42188925,0.868275455453
2011-03-09,1299628800,0.85132,0.87,0.85,0.86449,4546.046,3881.21600555,0.853756430434
2011-03-10,1299715200,0.86449,0.9329,0.84965,0.9329,8869.013,7895.07394061,0.890186308286
2011-03-11,1299801600,0.89,0.925,0.8601,0.88,3725.512,3301.73293993,0.886249444353
2011-03-12,1299888000,0.88,0.9197,0.88,0.918,4822.829,4319.59966173,0.895656815062
2011-03-13,1299974400,0.90501,0.918,0.88976,0.89249,660.31,595.4206011,0.901728886584
2011-03-14,1300060800,0.89249,0.9,0.88,0.8949,5269.235,4676.61653707,0.887532352812
2011-03-15,1300147200,0.8949,0.8949,0.87,0.87,2732.157,2405.41084962,0.880407256838
2011-03-16,1300233600,0.871,0.88,0.836,0.86,7929.615,6761.32006973,0.852666878497
2011-03-17,1300320000,0.845,0.88,0.81,0.82542,7159.779,6042.76763965,0.843988011313
2011-03-18,1300406400,0.8499,0.85062,0.70999,0.81648,14226.223,10971.32359872,0.771204247165
2011-03-19,1300492800,0.78,0.797,0.73127,0.765,9875.038,7457.82756979,0.755220138878
